zip,count,new_rate_10k,date,zipcode,name,state_abbrev,area,totpop_cy,medhinc_cy
97206,0,0.0,2020-05-27,97206,Portland,OR,6.47120363521073,51323,62204
97209,0,0.0,2020-05-27,97209,Portland,OR,1.05363360339782,20613,73208
97216,0,0.0,2020-05-27,97216,Portland,OR,2.49739773221441,17405,50559
97225,0,0.0,2020-05-27,97225,Portland,OR,6.71961076398565,26086,89522
97324,0,0.0,2020-05-27,97324,Alsea,OR,196.401763638428,1212,58972
97325,0,0.0,2020-05-27,97325,Aumsville,OR,32.2191746485237,7403,66567
97330,0,0.0,2020-05-27,97330,Corvallis,OR,83.6455129006939,44576,54916
97344,0,0.0,2020-05-27,97344,"Falls City",OR,236.294473687324,1216,49123
97355,0,0.0,2020-05-27,97355,Lebanon,OR,210.670447169973,31285,51381
97358,0,0.0,2020-05-27,97358,Lyons,OR,41.730801829922,2960,65701
97362,0,0.0,2020-05-27,97362,"Mount Angel",OR,21.3120288457216,5034,53086
97366,0,0.0,2020-05-27,97366,"South Beach",OR,12.312478497354,1514,57443
97368,0,0.0,2020-05-27,97368,Otis,OR,37.8276026695793,3816,46429
97376,0,0.0,2020-05-27,97376,"Seal Rock",OR,62.7021658087819,1707,46445
97385,0,0.0,2020-05-27,97385,Sublimity,OR,33.2346763206548,3527,67784
97391,0,0.0,2020-05-27,97391,Toledo,OR,82.3830264263315,6040,52634
97401,0,0.0,2020-05-27,97401,Eugene,OR,9.37509235079675,45841,37586
97403,0,0.0,2020-05-27,97403,Eugene,OR,4.03051016642778,12701,48779
97405,0,0.0,2020-05-27,97405,Eugene,OR,112.221940186477,47657,66133
97411,0,0.0,2020-05-27,97411,Bandon,OR,136.503974691971,7906,35720
97419,0,0.0,2020-05-27,97419,Cheshire,OR,31.1848309442258,1186,63300
97423,0,0.0,2020-05-27,97423,Coquille,OR,112.685711575054,6854,39358
97431,0,0.0,2020-05-27,97431,Dexter,OR,93.9206749186528,3005,68076
97435,0,0.0,2020-05-27,97435,Drain,OR,225.132961369654,2360,46710
97437,0,0.0,2020-05-27,97437,Elmira,OR,24.3430287863244,3035,59021
97438,0,0.0,2020-05-27,97438,"Fall Creek",OR,272.844239917572,1413,63230
97439,0,0.0,2020-05-27,97439,Florence,OR,147.881754396235,15740,40608
97442,0,0.0,2020-05-27,97442,Glendale,OR,350.806425641259,2491,46523
97443,0,0.0,2020-05-27,97443,Glide,OR,921.051339479172,2614,57841
97446,0,0.0,2020-05-27,97446,Harrisburg,OR,115.495174608374,5291,59823
97449,0,0.0,2020-05-27,97449,Lakeside,OR,45.6042610563694,2029,39372
97452,0,0.0,2020-05-27,97452,Lowell,OR,29.8186964368451,1661,58503
97454,0,0.0,2020-05-27,97454,Marcola,OR,84.9298153714012,1527,72283
97455,0,0.0,2020-05-27,97455,"Pleasant Hill",OR,19.487804391789,2332,72818
97456,0,0.0,2020-05-27,97456,Monroe,OR,104.731561713054,3122,59770
97458,0,0.0,2020-05-27,97458,"Myrtle Point",OR,527.055225251448,4774,42761
97459,0,0.0,2020-05-27,97459,"North Bend",OR,317.289280830006,14881,45092
97463,0,0.0,2020-05-27,97463,Oakridge,OR,1108.31774477111,4347,40287
